တိုင္း/ျပည္နယ္ (ျမန္မာ),ျမို့နယ္ (ျမန္မာ),အမ်ိုးအစား (ျမန္မာ),အမည္ (ျမန္မာ),လတၱီက်ု့,ေလာင္ဂ်ီက်ု့,ဖုန္းနံပါတ္,,,,,,
SR_MM_NAME,TS_MM_NAME,TYPE_MM,NAME_MM,LAT,LONG,Ph_no,,,,,,
ပဲခူးတိုင္းေဒသၾကီး,ေတာင္ငူျမို႕,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,စည္ဗဟို,18.939835,96.434363,09785328569,,,,,,
ပဲခူးတိုင္းေဒသၾကီး,ေဇယ်၀တီျမို႕,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ဟုမ္းလိုက္ထ္,18.535551,96.431198,09260559621,,,,,,
ပဲခူးတိုင္းေဒသၾကီး,ေဇယ်၀တီျမို႕,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,စိန္ခ်ယ္ရီ,18.544199,96.429808,095390518,,,,,,
ပဲခူးတိုင္းေဒသၾကီး,ေဇယ်၀တီျမို႕,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ေဇယ်ာပံု,18.537391,96.431362,05485073,,,,,,
ပဲခူးတိုင္းေဒသၾကီး,ေဇယ်၀တီျမို႕,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ဧရိုးမား,18.535128,96.431429,09797852517,,,,,,
ပဲခူးတိုင္းေဒသၾကီး,ေဇယ်၀တီျမို႕,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,စီးတီးလိုက္ထ္,18.533679,96.431551,09250702200,,,,,,
ပဲခူးတိုင္းေဒသၾကီး,ဒိုက္ဦးျမို႕,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ဟယ္လို,17.797247,96.670281,095142250,,,,,,
ပဲခူးတိုင္းေဒသၾကီး,ဒိုက္ဦးျမို႕,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ေရြွေတာင္တန္း,17.795254,96.665478,09252557565,,,,,,
ပဲခူးတိုင္းေဒသၾကီး,ဒိုက္ဦးျမို႕,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ေရြွဟသၤာ,17.797104,96.671533,095382124,,,,,,
ပဲခူးတိုင္းေဒသၾကီး,ၾကိဳ႕ပင္ေကာက္ျမို႕,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ဟန္လင္း,18.230243,95.648927,05350700,,,,,,
ပဲခူးတိုင္းေဒသၾကီး,ၾကိဳ႕ပင္ေကာက္ျမို႕,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ျမတ္လင္းေရာင္,18.229494,95.652025,05351017,,,,,,
